Lower layer Super Output Areas Code,Lower layer Super Output Areas,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E01011264,Leeds 011A,-8,Does not apply,0
E01011264,Leeds 011A,1,Household is not deprived in any dimension,253
E01011264,Leeds 011A,2,Household is deprived in one dimension,212
E01011264,Leeds 011A,3,Household is deprived in two dimensions,92
E01011264,Leeds 011A,4,Household is deprived in three dimensions,19
E01011264,Leeds 011A,5,Household is deprived in four dimensions,1
E01011265,Leeds 009A,-8,Does not apply,0
E01011265,Leeds 009A,1,Household is not deprived in any dimension,533
E01011265,Leeds 009A,2,Household is deprived in one dimension,252
E01011265,Leeds 009A,3,Household is deprived in two dimensions,107
E01011265,Leeds 009A,4,Household is deprived in three dimensions,16
E01011265,Leeds 009A,5,Household is deprived in four dimensions,2
E01011266,Leeds 008A,-8,Does not apply,0
E01011266,Leeds 008A,1,Household is not deprived in any dimension,804
E01011266,Leeds 008A,2,Household is deprived in one dimension,273
E01011266,Leeds 008A,3,Household is deprived in two dimensions,55
E01011266,Leeds 008A,4,Household is deprived in three dimensions,6
E01011266,Leeds 008A,5,Household is deprived in four dimensions,1
E01011267,Leeds 009B,-8,Does not apply,0
E01011267,Leeds 009B,1,Household is not deprived in any dimension,335
E01011267,Leeds 009B,2,Household is deprived in one dimension,237
E01011267,Leeds 009B,3,Household is deprived in two dimensions,122
E01011267,Leeds 009B,4,Household is deprived in three dimensions,27
E01011267,Leeds 009B,5,Household is deprived in four dimensions,2
E01011268,Leeds 010A,-8,Does not apply,0
E01011268,Leeds 010A,1,Household is not deprived in any dimension,234
E01011268,Leeds 010A,2,Household is deprived in one dimension,218
E01011268,Leeds 010A,3,Household is deprived in two dimensions,121
E01011268,Leeds 010A,4,Household is deprived in three dimensions,56
E01011268,Leeds 010A,5,Household is deprived in four dimensions,2
E01011269,Leeds 011B,-8,Does not apply,0
E01011269,Leeds 011B,1,Household is not deprived in any dimension,340
E01011269,Leeds 011B,2,Household is deprived in one dimension,259
E01011269,Leeds 011B,3,Household is deprived in two dimensions,128
E01011269,Leeds 011B,4,Household is deprived in three dimensions,29
E01011269,Leeds 011B,5,Household is deprived in four dimensions,0
E01011270,Leeds 008B,-8,Does not apply,0
E01011270,Leeds 008B,1,Household is not deprived in any dimension,441
E01011270,Leeds 008B,2,Household is deprived in one dimension,189
E01011270,Leeds 008B,3,Household is deprived in two dimensions,44
E01011270,Leeds 008B,4,Household is deprived in three dimensions,3
E01011270,Leeds 008B,5,Household is deprived in four dimensions,1
E01011271,Leeds 009C,-8,Does not apply,0
E01011271,Leeds 009C,1,Household is not deprived in any dimension,563
E01011271,Leeds 009C,2,Household is deprived in one dimension,254
E01011271,Leeds 009C,3,Household is deprived in two dimensions,67
E01011271,Leeds 009C,4,Household is deprived in three dimensions,9
E01011271,Leeds 009C,5,Household is deprived in four dimensions,0
E01011272,Leeds 009D,-8,Does not apply,0
E01011272,Leeds 009D,1,Household is not deprived in any dimension,333
E01011272,Leeds 009D,2,Household is deprived in one dimension,193
E01011272,Leeds 009D,3,Household is deprived in two dimensions,34
E01011272,Leeds 009D,4,Household is deprived in three dimensions,6
E01011272,Leeds 009D,5,Household is deprived in four dimensions,0
E01011273,Leeds 010B,-8,Does not apply,0
E01011273,Leeds 010B,1,Household is not deprived in any dimension,421
E01011273,Leeds 010B,2,Household is deprived in one dimension,202
E01011273,Leeds 010B,3,Household is deprived in two dimensions,79
E01011273,Leeds 010B,4,Household is deprived in three dimensions,22
E01011273,Leeds 010B,5,Household is deprived in four dimensions,0
E01011274,Leeds 010C,-8,Does not apply,0
E01011274,Leeds 010C,1,Household is not deprived in any dimension,232
E01011274,Leeds 010C,2,Household is deprived in one dimension,258
E01011274,Leeds 010C,3,Household is deprived in two dimensions,128
E01011274,Leeds 010C,4,Household is deprived in three dimensions,48
E01011274,Leeds 010C,5,Household is deprived in four dimensions,3
E01011275,Leeds 010D,-8,Does not apply,0
E01011275,Leeds 010D,1,Household is not deprived in any dimension,282
E01011275,Leeds 010D,2,Household is deprived in one dimension,230
E01011275,Leeds 010D,3,Household is deprived in two dimensions,74
E01011275,Leeds 010D,4,Household is deprived in three dimensions,21
E01011275,Leeds 010D,5,Household is deprived in four dimensions,2
E01011276,Leeds 011C,-8,Does not apply,0
E01011276,Leeds 011C,1,Household is not deprived in any dimension,436
E01011276,Leeds 011C,2,Household is deprived in one dimension,262
E01011276,Leeds 011C,3,Household is deprived in two dimensions,88
E01011276,Leeds 011C,4,Household is deprived in three dimensions,9
E01011276,Leeds 011C,5,Household is deprived in four dimensions,0
E01011277,Leeds 014A,-8,Does not apply,0
E01011277,Leeds 014A,1,Household is not deprived in any dimension,408
E01011277,Leeds 014A,2,Household is deprived in one dimension,172
E01011277,Leeds 014A,3,Household is deprived in two dimensions,52
E01011277,Leeds 014A,4,Household is deprived in three dimensions,9
E01011277,Leeds 014A,5,Household is deprived in four dimensions,0
E01011278,Leeds 014B,-8,Does not apply,0
E01011278,Leeds 014B,1,Household is not deprived in any dimension,466
E01011278,Leeds 014B,2,Household is deprived in one dimension,201
E01011278,Leeds 014B,3,Household is deprived in two dimensions,66
E01011278,Leeds 014B,4,Household is deprived in three dimensions,5
E01011278,Leeds 014B,5,Household is deprived in four dimensions,0
E01011279,Leeds 008C,-8,Does not apply,0
E01011279,Leeds 008C,1,Household is not deprived in any dimension,326
E01011279,Leeds 008C,2,Household is deprived in one dimension,186
E01011279,Leeds 008C,3,Household is deprived in two dimensions,56
E01011279,Leeds 008C,4,Household is deprived in three dimensions,11
E01011279,Leeds 008C,5,Household is deprived in four dimensions,1
E01011280,Leeds 008D,-8,Does not apply,0
E01011280,Leeds 008D,1,Household is not deprived in any dimension,525
E01011280,Leeds 008D,2,Household is deprived in one dimension,249
E01011280,Leeds 008D,3,Household is deprived in two dimensions,60
