Middle layer Super Output Areas Code,Middle layer Super Output Areas,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E02002330,Leeds 001,-8,Does not apply,0
E02002330,Leeds 001,1,Household is not deprived in any dimension,1864
E02002330,Leeds 001,2,Household is deprived in one dimension,918
E02002330,Leeds 001,3,Household is deprived in two dimensions,222
E02002330,Leeds 001,4,Household is deprived in three dimensions,30
E02002330,Leeds 001,5,Household is deprived in four dimensions,1
E02002331,Leeds 002,-8,Does not apply,0
E02002331,Leeds 002,1,Household is not deprived in any dimension,1551
E02002331,Leeds 002,2,Household is deprived in one dimension,1007
E02002331,Leeds 002,3,Household is deprived in two dimensions,386
E02002331,Leeds 002,4,Household is deprived in three dimensions,125
E02002331,Leeds 002,5,Household is deprived in four dimensions,7
E02002332,Leeds 003,-8,Does not apply,0
E02002332,Leeds 003,1,Household is not deprived in any dimension,1483
E02002332,Leeds 003,2,Household is deprived in one dimension,961
E02002332,Leeds 003,3,Household is deprived in two dimensions,360
E02002332,Leeds 003,4,Household is deprived in three dimensions,73
E02002332,Leeds 003,5,Household is deprived in four dimensions,3
E02002333,Leeds 004,-8,Does not apply,0
E02002333,Leeds 004,1,Household is not deprived in any dimension,2027
E02002333,Leeds 004,2,Household is deprived in one dimension,1161
E02002333,Leeds 004,3,Household is deprived in two dimensions,440
E02002333,Leeds 004,4,Household is deprived in three dimensions,97
E02002333,Leeds 004,5,Household is deprived in four dimensions,1
E02002334,Leeds 005,-8,Does not apply,0
E02002334,Leeds 005,1,Household is not deprived in any dimension,1937
E02002334,Leeds 005,2,Household is deprived in one dimension,1036
E02002334,Leeds 005,3,Household is deprived in two dimensions,306
E02002334,Leeds 005,4,Household is deprived in three dimensions,57
E02002334,Leeds 005,5,Household is deprived in four dimensions,3
E02002335,Leeds 006,-8,Does not apply,0
E02002335,Leeds 006,1,Household is not deprived in any dimension,2038
E02002335,Leeds 006,2,Household is deprived in one dimension,876
E02002335,Leeds 006,3,Household is deprived in two dimensions,197
E02002335,Leeds 006,4,Household is deprived in three dimensions,28
E02002335,Leeds 006,5,Household is deprived in four dimensions,2
E02002336,Leeds 007,-8,Does not apply,0
E02002336,Leeds 007,1,Household is not deprived in any dimension,1826
E02002336,Leeds 007,2,Household is deprived in one dimension,822
E02002336,Leeds 007,3,Household is deprived in two dimensions,221
E02002336,Leeds 007,4,Household is deprived in three dimensions,29
E02002336,Leeds 007,5,Household is deprived in four dimensions,1
E02002337,Leeds 008,-8,Does not apply,0
E02002337,Leeds 008,1,Household is not deprived in any dimension,2094
E02002337,Leeds 008,2,Household is deprived in one dimension,897
E02002337,Leeds 008,3,Household is deprived in two dimensions,216
E02002337,Leeds 008,4,Household is deprived in three dimensions,29
E02002337,Leeds 008,5,Household is deprived in four dimensions,3
E02002338,Leeds 009,-8,Does not apply,0
E02002338,Leeds 009,1,Household is not deprived in any dimension,1764
E02002338,Leeds 009,2,Household is deprived in one dimension,937
E02002338,Leeds 009,3,Household is deprived in two dimensions,330
E02002338,Leeds 009,4,Household is deprived in three dimensions,58
E02002338,Leeds 009,5,Household is deprived in four dimensions,4
E02002339,Leeds 010,-8,Does not apply,0
E02002339,Leeds 010,1,Household is not deprived in any dimension,1168
E02002339,Leeds 010,2,Household is deprived in one dimension,908
E02002339,Leeds 010,3,Household is deprived in two dimensions,402
E02002339,Leeds 010,4,Household is deprived in three dimensions,147
E02002339,Leeds 010,5,Household is deprived in four dimensions,6
E02002340,Leeds 011,-8,Does not apply,0
E02002340,Leeds 011,1,Household is not deprived in any dimension,1336
E02002340,Leeds 011,2,Household is deprived in one dimension,943
E02002340,Leeds 011,3,Household is deprived in two dimensions,396
E02002340,Leeds 011,4,Household is deprived in three dimensions,67
E02002340,Leeds 011,5,Household is deprived in four dimensions,1
E02002341,Leeds 012,-8,Does not apply,0
