Library ,Operator,Address Line 1,Address Line 2,Address Line 3,Postcode,VPostcode,Latitude,Longitude,Ward,ONS Ref,Telephone,Email,Monday opening hours,Tuesday opening hours,Wednesday opening hours,Thursday opening hours,Friday  opening hours,Saturday opening hours,Sunday opening hours,Assistive Technology,"Adult books for loan, fiction and non-fiction",Baby changing facility,Boardmaker,Book tokens for sale,Cafe,Car parking,"Children's books for loan, fiction and non-fiction","Children's holiday activities, check locally",Community Information,CDs - Music,Computers,Council Papers - online,Councillor surgery,Credit card payments,Disabled access,Drinks machine,Electoral Registers- local,Electronic magnifier,Employment & training advice,"Events, check locally",Exhibition space,Fax,Free Internet Access,Homework Collection,Learning Sessions eg learn how to use a computer,LeedsCard Registration,Local & Family History,Local bus timetables,Local publications for sale,Meeting room for hire,Microsoft Office Facilities,MP surgery,Newspapers,Photocopier -B & W,Planning Applications (online),Printing,Readers’ Group,Request Service,Scanner,Self-service facility,Story tapes for children,Story time,Study space,Sunday opening,Talking books,Theatre bookings,Toilet,Tourist Information,Free WIFI,Writers’ Group
Ardsley and Tingley,Leeds City Council,213a Bradford Road,Tingley ,Wakefield,WF3 2DL,WF032DL,53.72434822,-1.550108233,Ardsley and Robin Hood,http://statistics.data.gov.uk/id/statistical-geography/E05001413,0113 253 9025,enquiry.express@leeds.gov.uk,"10:00 -13:00, 14:00 - 17:00",Closed,"10:00 - 13:00, 14:00 - 18:00",Closed,10:00 - 13:00,10:00 - 13:00,Closed,1,1,,,,,1,1,1,1,,1,1,,,1,,,,,1,,1,1,1,1,,1,1,,,1,,,1,1,1,1,1,1,1,1,1,,,1,,1,,1,
Armley,Leeds City Council,2 Stocks Hill,Armley,Leeds,LS12 1UQ,LS121UQ,53.79712679,-1.588210213,Armley,http://statistics.data.gov.uk/id/statistical-geography/E05001414,0113 378 5670,enquiry.express@leeds.gov.uk,10:00 - 19:00,08:30 - 19:00,08:30 - 19:00,08:30 - 19:00,08:30 - 19:00,10:00 - 16:00,Closed,1,1,,1,1,,,1,1,1,,1,1,1,,1,,,,,1,,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,,,1,1,,,1,1,1,,1,
Beeston,Leeds City Council,"Units 5-6, District Centre",Town Street,Leeds,LS11 8PN,LS118PN,53.77229334,-1.57041289,Beeston and Holbeck,http://statistics.data.gov.uk/id/statistical-geography/E05001415,0113 378 1849,enquiry.express@leeds.gov.uk,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,10:00 - 18:00,11:00 - 14:00,11:00 - 14:00,1,1,,1,1,,1,1,1,1,,1,1,1,,1,,,,,1,,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,
Boston Spa,Leeds City Council,High Street,Wetherby,Leeds,LS23 6BH,LS236BH,53.90685793,-1.351367693,Wetherby,http://statistics.data.gov.uk/id/statistical-geography/E05001443,0193 784 5239,enquiry.express@leeds.gov.uk,09:00 - 12:00,Closed,10:00 - 17:00,Closed,09:00 - 12:00,09:00 - 12:00,Closed,1,1,,,1,,,1,1,1,,1,1,,,1,,,,,1,,1,1,1,1,,,,,,1,,,,1,1,,1,,,1,,,,1,,,,1,
Bramley,Leeds City Council,Hough Lane,Bramley,Leeds,LS13 3ND,LS133ND,53.81043958,-1.630085364,Bramley and Stanningley,http://statistics.data.gov.uk/id/statistical-geography/E05001416,0113 378 1851,enquiry.express@leeds.gov.uk,09:00 - 17:00,09:00 - 18:00,09:00 - 17:00,10:00 - 17:00,09:00 - 17:00,10:00 - 15:00,11:00 - 14:00,1,1,,1,1,,,1,1,1,,1,1,1,,1,,,,,1,,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,,,1,1,,,1,1,1,,1,
Calverley,Leeds City Council,Thornhill Street,Calverley,Leeds,LS28 5PD,LS285PD,53.82907214,-1.687153735,Calverley and Farsley,http://statistics.data.gov.uk/id/statistical-geography/E05001418,0113 378 3124,enquiry.express@leeds.gov.uk,14:00 - 17:00,09:00 - 13:00,Closed,14:00 - 18:00,09:00 - 13:00,10:00 - 13:00,10:00 - 13:00,1,1,,,1,,,1,1,1,,1,1,1,,1,,,,,1,,1,1,1,1,1,1,1,,,1,,,1,1,1,1,1,1,1,1,1,,,1,1,1,,1,1
Central,Leeds City Council,The Headrow,Calverley Street,Leeds,LS1 3AB,LS013AB,53.80013055,-1.548705836,City and Hunslet,http://statistics.data.gov.uk/id/statistical-geography/E05001420,0113 378 5005,enquiry.express@leeds.gov.uk,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 18:00,09:00 - 17:00,10:00 - 17:00,11:00 - 15:00,1,1,,1,1,,,1,1,1,1,1,1,,1,1,,1,,,1,,1,1,1,1,1,,,,1,1,,1,1,1,1,1,1,,,1,1,,,1,1,,,1,
Chapel Allerton,Leeds City Council,106 Harrogate Road,Chapel Allerton,Leeds,LS7 4LZ,LS074LZ,53.8283271,-1.537205848,Chapel Allerton,http://statistics.data.gov.uk/id/statistical-geography/E05001419,0113 378 1859,enquiry.express@leeds.gov.uk,10:00 - 17:00,10:00 - 17:00,10:00 - 19:00,10:00 - 17:00,10:00 - 17:00,11:00 - 16:00,Closed,1,1,,1,1,,,1,1,1,,1,1,1,,1,,,1,,1,,1,1,1,1,1,,1,,,1,,1,1,1,1,1,1,1,1,1,1,,,1,,,,1,
Chapeltown,Leeds City Council,The Reginald Centre,263 Chapeltown Road,Leeds,LS7 3EX,LS073EX,53.81767295,-1.531703229,Chapel Allerton,http://statistics.data.gov.uk/id/statistical-geography/E05001419,0113 336 7683,enquiry.express@leeds.gov.uk,09:00 - 17:00,09:00 - 19:00,10:00 - 17:00,09:00 - 17:00,09:00 - 17:00,11:00 - 13:00,Closed,1,1,1,1,1,,1,1,1,1,,1,1,1,,1,1,,,1,1,,1,1,1,1,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,1,,1,1
Compton Road,Leeds City Council,The Compton Centre,Harehills Lane,Leeds,LS9 7BG,LS097BG,53.80953341,-1.510092952,Gipton and Harehills,http://statistics.data.gov.uk/id/statistical-geography/E05001424,0113 336 7790,enquiry.express@leeds.gov.uk,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,10:00 - 16:00,12:00 - 16:00,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,,,1,1,,1,1,1,1,1,,1,,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,
